"PLAN","SPECIES","130J","131J","132J","133J","134J","135J","136J","137J","138J","139J","140J","141J","142J","143J","144J","145J","146J","147J","148J","149J","150J","151J","152J","153J","154J","155J","156J","157J","158J","159J","160J","161J","162J","163J","164J","165J","166J","167J"
"lanaO","gahlan",-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"hawwR","galchl",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-1,-2,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,-1,-2,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,0,2,2,-2,-2,-2,-2,-2,-2,1,0,-2,-2 
"unarR","gasacu",1,1,-3,1,-3,-3,-3,-3,1,-3,0,-3,1,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,1,-3,1,-3,-3,-3 
"maplO","gerarb",1,1,-2,-2,-2,1,1,-2,1,1,-2,1,1,1,-2,0,0,-2,0,-2,0,0,-2,-2,-2,0,0,0,0,-2,0,-2,-2,-2,1,1,-2,0 
"humpR","gilcyp",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,-2,-2,-2,-2,1,1,1,2,1,1,-2,2,-2,-2,-2,-2,2,1,2,-2,1,-2,-2,-2 
"bonyR","gilele",1,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,1,2,1,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,1,1,1,-2,1,-2,-2,1 
"chihO","gilnig",-3,-3,-2,-2,-2,-3,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","gilpur",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2 
"whooR","gruame",1,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,1,-2,1,1,-2,-2,-2,1 
"missR","grucan",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,-2,1,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2 
"cacoR","gymcal",-2,-2,2,2,-2,1,1,-3,1,-2,1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-3,-3,-2,-2,-2,-3,-2,-2,-3,-2,-2,-3,-3,-3,-2,-3,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2 
"todsO","hedtod",0,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,0,0,-2,0,0,0,0,0 
"oahpO","hesarb",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,0,-3,-3,0,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,-3 
"moloO","hibarn",0,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,0,1,-2,0,0,-2,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,0 
"kaupO","hibcla",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,1,0,-2,1,0,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"kauaO","hibwoo",1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,1,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"hawwR","himmex",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,0,-2,-2,-2,-2,-2 
"flscO","hypcum",1,1,-2,-2,-2,1,1,-2,1,1,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"smalR","isomed",-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,1,1,-2,-2,0,-2,-2,0,0,-2,-2,-2,2,-2,0,0,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2 
"beacO","jacrec",1,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,-2,1,-2,1,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"oahpO","labcyr",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,1,0,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"pinkO","lamabr",-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",0,1,-2,-2,-2,1,-2,-2,1,-2,-2,1,-1,0,-2,-1,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2 
"caroO","lasdec",1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"praiO","leslep",2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,2,1,1,-2,-1,1,1,-1,1,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"flscR","liaohl",-2,2,-2,-2,-2,1,-2,-2,1,-2,-2,2,2,2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
