"PLAN","SPECIES","424TTT","425TTT","426TTT","427TTT","428TTT","429TTT","430TTT","431TTT","432TTT","433TTT","434TTT","435TTT","436TTT","437TTT","438TTT","439TTT"
"capeO","notmek",-2,0,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,0,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0,-2 
"ringO","oboret",1,1,2,1,1,1,1,-2,2,2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",0,-2,-2,0,-2,-2,0,0,0,0,0,-2,-2,-2,0,-2 
"coluR","odvile",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"antiR","oendel",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",0,0,2,0,0,0,-2,0,0,0,0,-2,-2,0,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"furbR","pedfur",2,1,1,2,1,1,1,1,1,1,-2,-2,1,-2,1,-2 
"prcrO","pellem",1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2 
"lanaO","phygla",-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,2 
"biadO","phyrac",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,1,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,0,-2,-2,-2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,2,-2,2,-2,-2,2,2,-2,-2,-2,-2,2,-2 
"flscR","polbas",-2,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,1,-2 
"fatpR","potcap",0,0,0,0,0,-2,0,0,-2,-2,0,-2,-2,0,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",0,0,-1,-1,-1,-1,1,1,1,1,0,0,-1,2,-1,-2 
"harpO","ptinod",-2,0,-2,-2,0,-2,1,-2,-2,-2,-2,-2,-2,-2,0,-2 
"coloR","ptyluc",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,-2,-2,2,-2,-2,0,1,-2,-2,-2,1,-2,-2,0,-2 
"selkR","rantar",-2,-2,-2,0,-2,0,0,0,0,-2,-2,-2,-2,-2,0,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
