"PLAN","SPECIES","443WWW","444WWW","445WWW","446WWW","447WWW","448WWW","449WWW","450WWW","451WWW","452WWW","453WWW","454WWW","455WWW","456WWW","457WWW","458WWW"
"kaupO","melpal",1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0 
"oahpO","melsai",1,1,1,1,1,1,1,1,1,1,0,0,-2,-2,0,-2 
"armaO","miccal",1,1,1,0,1,1,0,1,1,1,0,-2,1,1,1,-2 
"hualO","micmex",-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1 
"kaufO","myapal",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0 
"oahpO","nothum",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0 
"neosO","notpla",-2,1,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2 
"ringO","oboret",1,1,1,1,1,1,0,-2,1,1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0 
"coluR","odvile",1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0 
"antiR","oendel",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0 
"grcuR","onccla",1,1,1,1,1,1,0,1,1,1,1,-2,-2,1,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1 
"flscR","parcha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"mamoO","parfla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"furbR","pedfur",1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,-2 
"prcrO","pellem",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0 
"anasO","perpol",1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1 
"lanaO","phygla",-2,1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"biadO","phyrac",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0 
"ropiO","pleple",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"fishR","poeocc",-2,0,-2,-2,-2,1,-2,-2,1,0,0,-2,0,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,1,-2,1,-2,-2,1,1,-2,-2,-2,-2,1,-2 
"flscR","polbas",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0 
"fatpR","potcap",0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"guamO","ptemar",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0 
"harpO","ptinod",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2 
"coloR","ptyluc",-2,1,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,1,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1 
"alamO","pyrneo",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",1,-2,-2,1,-2,-2,1,1,-2,-2,-2,1,-2,-2,1,-2 
"selkR","rantar",0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"grpiR","sarore",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
"pallO","scaalb",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1 
"maplO","schhal",1,1,1,0,0,1,1,1,0,1,0,0,-2,0,1,-2 
"oahpO","schkaa",1,-2,-2,1,-2,-2,0,0,1,1,1,1,0,1,0,0 
"oahpO","schkea",1,1,1,1,1,1,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"kaupO","schspe",1,1,1,1,1,1,-2,1,1,1,1,-2,-2,1,1,-2 
"delmR","scinig",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"enruO","soldry",1,-2,-2,1,-2,-2,-1,-1,1,1,1,-1,-2,1,1,1 
"hougO","solhou",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",1,-2,-2,1,-2,-2,1,1,1,0,1,0,0,1,0,-2 
"caleO","steant",1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",1,-2,-2,1,-2,-2,1,1,1,1,1,-2,-2,1,1,-2 
"mexiO","strocc",0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0 
"loweO","sylpal",1,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,1 
"lanaO","tetrem",-2,1,1,-2,-2,1,0,-2,-2,1,-2,-2,-2,-2,-2,1 
"karsO","texred",-2,-2,-2,1,-2,-2,1,1,1,1,-2,-2,-1,-1,-2,-2 
"coolO","thacoo",0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1 
