"PLAN","SPECIES","405GGG","406GGG","407GGG","408GGG","409GGG","410GGG","411GGG","412GGG","413GGG","414GGG","415GGG","416GGG","417GGG","418GGG","419GGG","420GGG"
"roleO","lysasp",-2,5,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"apalO","macalb",-2,10,-2,-2,10,-2,10,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"mohrO","marmoh",15,15,15,-2,-2,-2,15,15,15,-2,-2,-2,-2,-2,15,15 
"kaupO","melpal",5,5,5,5,5,5,5,-2,-2,5,5,-2,-2,5,-2,-2 
"oahpO","melsai",5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",-1,-1,-1,-2,10,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"kaufO","myapal",-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,6,6,-2,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","nothum",5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2 
"ringO","oboret",-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-1,-2 
"coluR","odvile",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"antiR","oendel",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"furbR","pedfur",6,-1,-1,6,-1,-1,-1,-1,-1,-1,-2,-2,-1,-2,-1,-2 
"prcrO","pellem",10,10,10,10,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",5,5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-1,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1 
"lanaO","phygla",-2,5,5,-2,-2,5,-2,-2,-2,5,-2,-2,-2,-2,-2,5 
"biadO","phyrac",5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
