"PLAN","SPECIES","89B","90B","91B","92B","93B","94B","95B","96B","97B","98B","99B","100B","101B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B"
"fishR","cypfor",2,2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2 
"kauaO","cyrcya",3,2,-2,-2,-2,-2,-2,-2,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"biplO","cyrgif",2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"oahpO","cyrvir",2,2,-2,-2,-2,2,2,1,1,-2,-2,3,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"kirtR","denkir",1,1,-2,1,2,-2,1,1,1,1,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"flomO","dicchr",2,2,-2,-2,-2,2,2,2,1,2,2,2,-2,6,-2,-2,-2,2,3,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,2,2,3,2 
"tennR","echten",2,2,-2,-2,-2,2,2,3,3,2,-2,3,3,3,-2,3,-2,-2,-2,4,4,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,2,2 
"tarrR","ellste",2,2,-2,-2,-2,-2,-2,6,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3,3,-2,-2 
"cavpO","eryari",2,6,-2,-2,-2,2,6,6,6,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,2,-2,-2,-2,2,2,-2,-2 
"antiR","erycap",2,2,-2,-2,-2,2,3,-2,1,2,-2,3,-2,2,-2,-2,-2,-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",2,3,-2,-2,-2,2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"seveO","erymen",2,2,-2,-2,-2,-2,-2,-2,1,1,-2,3,3,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,6,6,6,-2 
"threO","eryter",2,3,-2,-2,-2,2,2,-1,2,2,-1,3,3,2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,2,-1 
"slacO","ethbos",2,2,-2,2,-2,2,1,-2,1,-2,-2,3,2,-2,-2,3,-2,-2,2,2,3,3,-2,-2,-2,2,-2,2,2,-2,-2,2,-2,-2,2,2,-2,-2 
"edwaR","ethfon",2,2,2,-2,-2,2,2,2,2,-2,-2,3,3,3,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,3,3,3,3,-2,-2,2,3,-2,2,2,5,-2 
"wateR","ethnuc",2,3,3,3,-2,2,2,3,3,2,-2,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2 
"okalO","ethoka",2,2,-2,-2,-2,2,3,3,3,2,-2,3,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"bayoR","ethrub",2,2,-2,-2,-2,2,2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,3,3,2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
