"PLAN","SPECIES","443ABC","444ABC","445ABC","446ABC","447ABC","448ABC","449ABC","450ABC","451ABC","452ABC","453ABC","454ABC","455ABC","456ABC","457ABC","458ABC"
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12 
"lotiO","lycarg",-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"roleO","lysasp",-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2,-2,-2,-2 
"apalO","macalb",-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"mohrO","marmoh",12,12,12,-2,-2,-2,12,12,12,-2,-2,-2,-2,-2,12,-2 
"kaupO","melpal",12,12,12,12,12,12,12,-2,-2,-2,12,-2,-2,-2,-2,-2 
"oahpO","melsai",8,8,8,8,8,8,8,8,8,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",12,12,12,-2,12,12,-2,12,-2,12,-2,-2,2,12,12,-2 
"hualO","micmex",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",-3,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3 
"kaufO","myapal",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-2,12,-2,-2,12,-2,12,12,12,-2,-2,-2,-2,-2,-2 
"oahpO","nothum",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,12,12,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,12,10,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-1,-2 
"ringO","oboret",12,12,12,12,12,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",1,-2,-2,1,-2,-2,-2,-2,1,-2,1,-2,-2,-2,1,-2 
"coluR","odvile",12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"antiR","oendel",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,12,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",12,-2,-2,-2,12,-2,12,12,12,12,-2,-2,-2,-2,12,-2 
"prcrO","pellem",1,12,12,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-1,-1,-2,-1,-2,-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-1 
"lanaO","phygla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2 
"biadO","phyrac",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,-1,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-2 
"flscR","polbas",-2,10,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",-2,12,12,-2,-2,12,12,12,-2,-2,12,-2,-2,12,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,. 
"harpO","ptinod",-2,-3,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2 
"coloR","ptyluc",-2,-3,-2,-2,-2,-3,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2 
"flopR","pumcon",-3,-2,-2,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"alamO","pyrneo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2 
