"PLAN","SPECIES","405EEE","406EEE","407EEE","408EEE","409EEE","410EEE","411EEE","412EEE","413EEE","414EEE","415EEE","416EEE","417EEE","418EEE","419EEE","420EEE"
"smalR","isomed",1,1,1,1,1,1,1,1,1,6,1,-2,-2,1,6,-2 
"beacO","jacrec",-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,6,-2 
"snakO","lanxsp",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,3,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,3,-1,-2 
"kaupO","lipfau",1,1,1,1,1,1,-2,-2,-2,5,1,-2,-2,1,-2,-2 
"oahpO","loboah",1,1,1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,6 
"lotiO","lycarg",-2,1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,5,-2 
"roleO","lysasp",-2,5,-2,-2,-2,1,-2,-2,-2,-2,-2,5,-2,-2,-2,-2 
"apalO","macalb",-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,6,-2 
"mohrO","marmoh",1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,5,6 
"kaupO","melpal",1,1,1,1,1,1,1,-2,-2,-1,1,-2,-2,1,-2,-2 
"oahpO","melsai",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"armaO","miccal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"hualO","micmex",-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",3,3,3,-2,3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"kaufO","myapal",3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,1,1,-2,1,1,-2,3,3,3,-2,-2,-2,-2,6,-2 
"oahpO","nothum",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,-1,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,3,3,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"ringO","oboret",1,1,1,1,1,1,1,-2,1,1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",1,-2,-2,1,-2,-2,1,3,3,3,1,-2,-2,-2,3,-2 
"coluR","odvile",3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,5,-2 
"antiR","oendel",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"grcuR","onccla",3,1,3,3,3,3,-2,3,5,5,5,-2,-2,5,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",1,-2,-2,1,-2,-2,2,3,2,3,-1,-1,-1,-1,1,6 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"furbR","pedfur",4,-1,4,4,-1,4,1,6,6,6,-1,-1,6,-1,6,-2 
"prcrO","pellem",3,1,3,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,3,3,3,-2,3,1,-2,-2,-2,-2,-2,-2,3,-2,1 
"lanaO","phygla",-2,1,2,-2,-2,3,-2,-2,-2,-1,-2,-2,-2,-2,-2,6 
"biadO","phyrac",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,1,6,-2,-2,-2,1,-2,-2,-2,-2,5,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,3,-2,3,-2,-2,-1,5,-2,-2,-2,-2,5,-2 
"flscR","polbas",-2,3,-2,-2,-2,-2,6,3,-2,-2,-2,-2,-2,-2,3,-2 
"fatpR","potcap",-1,-1,-1,-1,-1,-2,1,1,-2,-2,-1,-2,-2,-1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",3,-2,-2,3,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"guamO","ptemar",3,3,3,3,-1,-1,3,3,3,3,3,-1,-1,3,2,-2 
"harpO","ptinod",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,-2,-2,3,-2,-2,2,3,-2,-2,-2,5,-2,-2,5,-2 
"selkR","rantar",-2,-2,-2,1,-2,1,1,5,5,-2,-2,-2,-2,-2,1,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"pallO","scaalb",-1,1,1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1 
"maplO","schhal",-1,-1,-1,-1,-1,-1,-1,6,5,-1,-1,-1,-2,-1,-1,-2 
"oahpO","schkaa",5,5,5,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,6,-2 
"oahpO","schkea",3,3,3,3,3,3,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1 
"kaupO","schspe",3,1,3,3,1,3,-1,-1,-1,3,3,-2,-2,3,1,-2 
"delmR","scinig",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"enruO","soldry",1,-2,-2,-1,-2,-2,-1,-1,5,-1,6,-1,-2,1,5,6 
"hougO","solhou",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",3,-2,-2,3,-2,-2,3,3,3,3,3,-1,-1,3,3,-2 
"caleO","steant",3,1,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",3,1,3,3,1,3,-1,-1,-1,3,3,-2,-2,3,1,-2 
"mexiO","strocc",-2,-2,-2,3,-2,3,-2,3,3,3,-2,6,-2,-2,-2,-2 
"loweO","sylpal",-1,-1,-1,-2,-2,-2,-1,5,5,-1,-1,-1,-2,-1,5,6 
"lanaO","tetrem",-2,1,2,-2,-2,3,-1,-2,-2,-1,-2,-2,-2,-2,-2,6 
"karsO","texred",-1,-2,-2,-1,-2,-2,1,1,-1,1,-1,-2,-1,-1,6,-2 
"coolO","thacoo",6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1 
"pedaO","theste",-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,-2,-2,-2,-1,5,-2 
"soccO","thethe",-2,1,-2,-2,-2,-1,-2,-2,-2,5,-2,-2,5,-2,5,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",1,1,1,1,1,1,-1,-1,-1,-1,-1,-2,-2,-1,5,-3 
"attwR","tymcup",3,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"grizR","ursarc",-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,6,-2,4,-2,2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",1,1,1,1,1,1,2,3,2,3,-2,-2,-2,-2,1,-2 
"edwaR","ziztex",3,-2,-2,-2,-2,-2,6,6,6,6,-2,-2,5,-2,6,-2 
