"PLAN","SPECIES","405MMM","406MMM","407MMM","408MMM","409MMM","410MMM","411MMM","412MMM","413MMM","414MMM","415MMM","416MMM","417MMM","418MMM","419MMM","420MMM"
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"furbR","pedfur",1,0,0,1,0,0,0,0,0,0,-2,-2,0,-2,0,-2 
"prcrO","pellem",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",3,3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,0,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2,0 
"lanaO","phygla",-2,3,3,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,3 
"biadO","phyrac",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,0,4,-2,-2,-2,5,-2,-2,-2,-2,0,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,0,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,-2 
"flscR","polbas",-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2 
"fatpR","potcap",0,0,0,0,0,-2,0,0,-2,-2,0,-2,-2,0,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",0,1,0,-1,-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2 
"harpO","ptinod",-2,3,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",5,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"selkR","rantar",-2,-2,-2,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"pallO","scaalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maplO","schhal",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2 
"oahpO","schkaa",5,5,5,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,5,-2 
"oahpO","schkea",0,0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"kaupO","schspe",3,3,3,3,3,3,-1,-1,-1,3,3,-2,-2,3,3,-2 
"delmR","scinig",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"enruO","soldry",0,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,5,-1 
