"PLAN","SPECIES","347XX","348XX","349XX","350XX","351XX","352XX","353XX","354XX","355XX","356XX","357XX","358XX","359XX","360XX","361XX","362XX","363XX","364XX","365XX","366XX","367XX","368XX","369XX","370XX"
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",12,12,12,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12,12,12 
"todsO","hedtod",2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",12,12,12,12,12,12,10,-2,-3,-2,-2,-2,-2,-2,12,-2,-2,2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2 
"kaupO","hibcla",12,12,12,12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",12,12,-2,12,12,12,12,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"flscO","hypcum",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,12 
"smalR","isomed",12,12,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",12,12,12,12,12,12,12,12,12,12,-2,-2,-2,-2,-2,12,-2,-1,-2,12,12,12,12,-2 
"oahpO","labcyr",-2,2,2,2,2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"pinkO","lamabr",-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8,8,-2 
"caroO","lasdec",1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,-2,-2 
"praiO","leslep",12,-2,12,-2,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,12,12,12,12,12,10,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,12,-2 
"kaupO","lipfau",12,12,12,12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",2,2,2,2,2,2,12,2,2,-2,-2,-2,-2,-2,2,2,-2,-1,-2,2,2,2,2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2,-2,-2,-2 
"roleO","lysasp",-2,12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"apalO","macalb",-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3 
"kaupO","melpal",12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2 
"oahpO","melsai",8,8,8,8,8,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,8,8,8,8,8,8,8,8,-2 
"armaO","miccal",-2,12,12,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2 
"hualO","micmex",12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",-3,-3,-2,-2,-2,-3,-3,-3,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2 
"kaufO","myapal",1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"indiR","myosod",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,12,12,12,12,-2 
"oahpO","nothum",12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,-2 
"neosO","notpla",-2,-1,12,12,12,12,12,-2,12,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"ringO","oboret",-2,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2 
"keydR","odvicl",-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1 
"coluR","odvile",12,12,12,-2,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,-2 
"antiR","oendel",-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"arizR","oncapa",12,-2,-2,12,-2,-2,12,-2,-2,12,-2,12,-2,-2,-2,-2,-2,12,-2,12,-2,12,-2,-2 
"grcuR","onccla",-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,12,-2,-2,-2,12,-2,12,1,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2 
"nashR","orcsho",10,10,10,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2 
"flscR","parcha",12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2 
"mamoO","parfla",-2,12,12,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,12,-2 
"prcrO","pellem",12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"lanaO","phygla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2 
"biadO","phyrac",-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2 
"redcR","picbor",-2,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2 
"shenO","pleshe",2,-2,-2,2,2,2,2,-3,-3,-3,-2,2,-3,-2,-2,-2,-3,2,-3,-3,-3,2,2,-3 
"fishR","poeocc",-2,12,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"flscR","polbas",12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",12,12,12,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",-2,-2,-1,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,12,12,-2,12,-2,-2 
"guamO","ptemar",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-2 
"coloR","ptyluc",-3,-3,-3,-3,-2,-3,-3,-3,-3,-2,-3,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-3,-2,-2 
"flopR","pumcon",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
"tombO","quasta",12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",12,12,12,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"selkR","rantar",-2,-2,12,-2,-2,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,3,-2,-2,2,2,2,2,-2 
"kendO","rhiosc",-2,-2,10,-2,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"chapO","rhocha",-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
