"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"sccyO","cupabr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","cyaman",8,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8 
"biplO","cyashi",-3,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"fishR","cypfor",1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,1,1,-2,-2 
"kauaO","cyrcya",-2,-2,-2,-2,-2,3,3,-2,3,-2,-2,3,3,3,-2,2,2,-2,2,2,2,2,2,2,-2,2,2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"biplO","cyrgif",-2,-3,-3,-3,-3,-3,-3,-3,12,-3,-3,12,12,-2,-3,-2,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-2,-2,-3 
"oahpO","cyrvir",-2,-2,-2,-2,-2,2,-2,-2,12,-2,-2,2,-2,2,-2,-2,-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,-2,-2,12,2,-2,-2 
"kirtR","denkir",-1,-2,-2,-1,-1,-2,-1,-2,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"flomO","dicchr",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,11,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",-2,1,-2,-2,-2,3,1,-2,3,-2,-2,3,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,2 
