"flogO","chrflo","flogO","chrflo","Bloch35","Chrysops","floridan","-2","Small","Florida",1,1,1986,5,16,0,-2,-2,-2,"-1",0,0,0,14,1,0,-1,-1,3,3,13,1,1,9,0,0,"USFWS4",1,2,-1,1,1,0 
"nortO","cicdor","nortO","cicdor","Morris19","Cicindel","dorsalis","dorsalis","Cazier","Northeas",2,1,1990,8,-1,1,-1,-1,-1,"-3",0,0,1,6,3,5,-1,1,-1,1,27,2,1,8,0,0,"USFWS5",-1,-1,-1,1,1,0 
"maskR","colvir","maskR","colvir","Dullum36","Colinus","virginia","ridgway","A.O.U.","Masked B",2,2,1966,10,15,1,1991,-1,-1,"6",0,0,0,2,4,-1,3,2,2,2,16,1,1,24,1,0,"USFWS2",2,3,2,1,1,0 
"hawcO","corhaw","hawcO","corhaw","Bunn183","Corvus","tropicus","-2","-1","Alala",1,2,1967,2,24,0,-2,-2,-2,"-2",0,0,0,2,4,5,3,1,3,2,-1,1,3,2,0,0,"USFWS1",1,-1,-1,1,1,0 
"amcrR","croacu","amcrR","croacu","Wyrick52","Crocodyl","acutus","0","-1","American",1,2,1975,9,25,1,1976,9,24,"-3",0,0,0,3,3,-1,-1,4,3,4,22,2,-1,9,1,0,"USFWS4",3,3,-1,1,1,1 
"newmO","crowil","newmO","crowil","Cilimbur","crotalus","willardi","ssp. obs","-2","New Mexi",2,1,1978,8,4,1,1978,8,4,"-3",0,0,0,3,3,3,-1,-1,2,-1,8,1,-1,24,1,0,"USFWS2",1,-1,-3,1,1,0 
"sccyO","cupabr","sccyO","cupabr","Gray54","Cupressu","abramsia","-2","-2","Santa Cr",1,2,1987,1,8,0,-2,-2,-2,"-3",0,0,0,13,1,0,1,-1,-1,2,3,1,2,1,0,0,"USFWS4",2,2,-1,1,1,0 
"moloO","cyaman","moloO","cyaman","Webb23","Cyanea","mannii","-2","(Brigham","haha",1,2,1992,10,8,0,-2,-2,-2,"2",0,0,0,14,1,0,2,-1,2,2,1,2,-1,2,0,0,"USFWS1",1,-1,-1,1,1,0 
"biplO","cyashi","biplO","cyashi","nielson1","Cyanea","shipmani","-2","Rock","haha",1,2,1994,4,4,0,-2,-2,-2,"2",0,0,0,14,1,0,3,3,2,3,2,-1,-1,2,0,0,"USFWS1",2,2,3,1,1,0 
"fishR","cypfor","fishR","cypfor","Mayer150","Cyprinel","formosa","-2","-3","beautifu",1,1,1984,10,1,1,1984,10,1,"-3",0,0,0,5,-1,-1,5,-1,-1,-1,21,-1,-1,24,1,1,"USFWS2",-1,-1,-3,1,1,0 
