1,2,3,4,5,6,7,8,9,Date of Most Current RP (fixed),10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,PLAN,SPECIES
edwaR,ethfon,Newbold1,edwaR,5,3,121,38,1996,1996,2,14,1,1996,,,,1,-1,1,1,0,2,0,0,0,1,0,3,0,0,10,3,1,0,1,4,0,0,0,3,1,2,2,0,edwaR,ethfon 
wateR,ethnuc,Temple99,wateR,1,1,14,12,1980,1993,3,29,2,1984,1993,,,-2,-1,1,1,0,1,0,0,0,0,0,2,0,0,10,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,wateR,ethnuc 
okalO,ethoka,Eustace2,okalO,1,1,18,13,1981,1981,10,23,0,,,,,-2,-2,1,1,0,5,0,0,0,0,0,1,0,0,-2,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,okalO,ethoka 
bayoR,ethrub,Faulkner,bayoR,1,1,30,23,1983,1990,7,10,1,1990,,,,1,-1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bayoR,ethrub 
maryR,ethsel,Withey12,maryR,1,1,38,28,1982,1985,9,-1,1,1985,,,,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,maryR,ethsel 
elseO,eupbat,Lucia189,elseO,1,1,67,19,1998,1998,9,28,0,,,,,0,-2,1,2,0,0,0,0,0,0,0,4,0,0,-1,3,1,-1,1,-1,5,0,0,55,2,0,10,0,elseO,eupbat 
edwaR,eurnan,Falcone1,edwaR,5,3,121,38,1985,1996,4,8,1,1996,,,,1,-2,1,1,0,0,2,0,0,1,0,3,0,0,10,2,1,3,1,4,-2,-2,1,-2,-2,2,3,-2,edwaR,eurnan 
pereO,falper,Morse75,pereO,1,1,147,127,1979,1991,8,20,1,1991,,,,0,4,1,1,2,3,0,0,0,0,0,2,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,pereO,falper 
ampeO,falper,Drees90,ampeO,1,1,87,55,1982,1982,10,12,0,,,,,0,-2,1,2,3,5,0,0,0,0,0,0,0,0,0,3,0,6,11,8,1,0,3,0,0,60,5,0,ampeO,falper 
hawwR,fulame,Dollar14,hawwR,4,2,104,57,1978,1985,9,11,1,1985,,,,1,6,4,3,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hawwR,fulame 
lanaO,gahlan,Morse75,lanaO,9,2,145,107,1995,1995,9,29,0,,,,,0,-2,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,lanaO,gahlan 
hawwR,galchl,Shaw205,hawwR,4,2,99,55,1978,1985,9,11,1,1985,,,,1,2,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,1,0,0,0,hawwR,galchl 
edwaR,gamgeo,Lundquis,edwaR,5,3,131,38,1985,1996,4,8,1,1996,,,,1,6,1,1,0,2,0,0,0,1,0,3,0,0,10,3,1,0,1,4,1,0,1,1,0,3,2,0,edwaR,gamgeo 
hawgO,garbri,Kimball1,hawgO,1,1,69,147,1993,1993,9,30,0,,,,,0,-2,2,1,0,0,0,0,-3,0,0,0,0,0,-3,0,0,1,0,2,0,0,0,0,0,0,0,0,hawgO,garbri 
unarR,gasacu,hahn127,unarR,1,1,80,39,1977,1985,8,25,1,1985,,,,1,-2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unarR,gasacu 
maplO,gerarb,Leyse217,maplO,21,2,196,41,1997,1997,7,29,0,,,,,0,-2,4,-1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-1,0,-1,1,1,1,0,0,1,1,1,0,0,maplO,gerarb 
humpR,gilcyp,Moerke14,humpR,1,1,43,36,1979,1990,8,22,2,1984,1990,,,1,-1,1,2,2,5,0,0,0,0,0,0,0,0,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,humpR,gilcyp 
bonyR,gilele,Crampton,bonyR,1,1,35,19,1984,1990,9,4,1,1990,,,,1,-1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,bonyR,gilele 
