"PLAN","SPECIES","405III","406III","407III","408III","409III","410III","411III","412III","413III","414III","415III","416III","417III","418III","419III","420III"
"snakO","lanxsp",-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2 
"kaupO","lipfau",6,6,6,6,6,6,-2,-2,-2,-2,6,-2,-2,6,-2,-2 
"oahpO","loboah",-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,6 
"lotiO","lycarg",-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"roleO","lysasp",-2,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6,-2,-2,-2,-2 
"apalO","macalb",-2,6,-2,-2,6,-2,6,-2,-2,-2,-2,-2,-2,-2,6,-2 
"mohrO","marmoh",3,3,3,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,1,1 
"kaupO","melpal",1,1,1,1,1,1,1,-2,-2,1,-2,-2,-2,1,-2,-2 
"oahpO","melsai",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",5,5,5,-2,5,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,5 
"kaufO","myapal",-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-1,-1,-2,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2 
"oahpO","nothum",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,6,6,-2,-2,-2,-2,6,6,6,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"ringO","oboret",-1,-1,5,-1,-1,5,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",4,-2,-2,4,-2,-2,4,4,4,4,4,-2,-2,-2,4,-2 
"coluR","odvile",5,6,5,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,6,-2 
"antiR","oendel",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",6,6,1,6,6,6,-2,6,6,6,6,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"furbR","pedfur",1,6,6,1,6,6,6,6,6,6,-2,-2,6,-2,6,-2 
"prcrO","pellem",6,6,6,6,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",3,3,3,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,1,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,1 
"lanaO","phygla",-2,6,6,-2,-2,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6 
"biadO","phyrac",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,6,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,3,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",-2,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2 
"fatpR","potcap",-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-2,-2,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"guamO","ptemar",-1,-1,-1,-1,2,-1,2,2,2,2,2,-2,-2,2,2,-2 
