"PLAN","SPECIES","443ZZZ","444ZZZ","445ZZZ","446ZZZ","447ZZZ","448ZZZ","449ZZZ","450ZZZ","451ZZZ","452ZZZ","453ZZZ","454ZZZ","455ZZZ","456ZZZ","457ZZZ","458ZZZ"
"chihO","gilnig",-2,-3,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-3,-2 
"fishR","gilpur",-3,-3,-2,-2,-3,-2,-3,-3,-3,-2,-2,-2,-2,-3,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"cacoR","gymcal",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-3,-2 
"gnomO","gymlin",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"todsO","hedtod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","hesarb",0,0,0,-3,-3,-3,0,-2,0,0,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,0,0,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,2 
"kaupO","hibcla",0,0,0,0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2 
"kauaO","hibwoo",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"flscO","hypcum",-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,1,-2 
"smalR","isomed",1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,0 
"beacO","jacrec",-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,1,1,-1,1,1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2 
"snakO","lanxsp",-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",1,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",2,2,2,1,-2,-2,0,-2,2,-2,-2,-2,-2,-2,2,-2 
"kaupO","lipfau",0,0,0,0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2 
"oahpO","loboah",1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1 
"lotiO","lycarg",-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,1 
"roleO","lysasp",-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"apalO","macalb",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2 
"mohrO","marmoh",1,1,1,-2,-2,-2,2,2,1,-2,-2,-2,-2,-2,1,0 
"kaupO","melpal",1,1,1,1,1,1,1,-2,-2,0,1,-2,-2,-2,-2,-2 
"oahpO","melsai",1,1,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2 
"armaO","miccal",1,1,1,-2,1,1,-2,2,-2,1,-2,-2,1,1,1,-2 
"hualO","micmex",-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",-3,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3 
"kaufO","myapal",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-2,1,-2,-2,1,-2,1,1,1,-2,-2,-2,-2,-2,-2 
"oahpO","nothum",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,1,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-1,-2 
"ringO","oboret",1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",2,-2,-2,2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,1,-2 
"coluR","odvile",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"antiR","oendel",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",1,-2,-2,0,1,-2,1,1,2,2,-2,-2,0,-2,2,-2 
"prcrO","pellem",-3,1,1,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-1,-1,-2,-1,-2,-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-1 
"lanaO","phygla",-2,0,0,-2,-2,0,-2,-2,-2,-3,-2,-2,-2,-2,-2,0 
"biadO","phyrac",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,-1,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-2 
"flscR","polbas",-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",-2,2,1,-2,-2,1,2,2,-2,-2,1,-2,-2,1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",0,0,0,0,0,0,0,0,0,0,.,0,.,0,0,. 
"harpO","ptinod",-2,-3,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2 
"coloR","ptyluc",-2,-3,-2,-2,-2,-3,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2 
"flopR","pumcon",-3,-2,-2,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"alamO","pyrneo",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",1,-2,-2,1,-2,-2,0,-1,-2,-2,-2,1,-2,-2,0,-2 
