"PLAN","SPECIES","89C","90C","91C","92C","93C","94C","95C","96C","97C","98C","99C","100C","101C","102C","103C","104C","105C","106C","107C","108C","109C","110C","111C","112C","113C","114C","115C","116C","117C","118C","119C","120C","121C","122C","123C","124C","125C","126C"
"edwaR","gamgeo",-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-1,-2,-2,-2,-2,-1,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-1,-1,-2,2,-2,-2,-2 
"maplO","gerarb",-2,-2,-2,-2,-2,-2,2,2,3,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"humpR","gilcyp",2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-1,-1,-2,-1,-2,-1,-1,2,2,2,-2,-1,-2,-1,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-1 
"chihO","gilnig",3,3,-2,-2,-2,-1,1,-1,3,-1,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2 
"fishR","gilpur",-2,1,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",-2,-2,3,3,3,3,3,1,1,3,-2,2,1,1,-2,3,2,-2,3,3,2,2,-2,-2,-2,3,-2,-2,-2,-2,3,3,2,-2,3,-2,-2,-2 
"missR","grucan",-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,3,6,-2,-2,-2,6,6,-2,2,5,5,5,-2,-2,5,-2,-2,-2,-2,-2,6,6,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"todsO","hedtod",-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1 
"oahpO","hesarb",3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",3,3,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","hibcla",1,1,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
