"PLAN","SPECIES","424VVV","425VVV","426VVV","427VVV","428VVV","429VVV","430VVV","431VVV","432VVV","433VVV","434VVV","435VVV","436VVV","437VVV","438VVV","439VVV"
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"furbR","pedfur",2,-1,-1,-1,-1,-1,1,1,1,1,-2,-2,-1,-2,2,-2 
"prcrO","pellem",2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",2,-1,2,-2,-2,2,-1,-2,-2,-2,-2,-2,-2,2,-2,-2 
"lanaO","phygla",-2,2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,2 
"biadO","phyrac",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,2,-2,-2,-2,0,-2,-2,1,1,0,-2,2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"fatpR","potcap",2,2,2,2,2,-2,2,2,-2,-2,-1,-2,-2,-1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,-2 
"harpO","ptinod",-2,2,-2,-2,2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",0,-2,-2,0,-2,-2,-1,-1,-2,-2,-2,2,-2,-2,2,-2 
"selkR","rantar",-2,-2,-2,2,-2,-1,2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pallO","scaalb",-1,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,2,2 
"maplO","schhal",2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"oahpO","schkaa",2,2,2,-1,-1,-1,-2,-1,-1,2,-2,-2,-2,-2,-2,-2 
"oahpO","schkea",2,2,2,2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-1 
"kaupO","schspe",0,0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"delmR","scinig",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"enruO","soldry",2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,2,2 
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,-2 
"caleO","steant",2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",0,0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"mexiO","strocc",-2,-2,-2,-1,-2,-1,-2,2,2,-1,-2,-1,-2,-2,-2,-2 
"loweO","sylpal",2,1,2,-2,-2,-2,-1,2,2,-1,-1,-1,-2,-1,2,2 
"lanaO","tetrem",-2,2,2,-2,-2,2,2,-2,-2,1,-2,-2,-2,-2,-2,-1 
"karsO","texred",-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,-2 
"coolO","thacoo",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pedaO","theste",-2,0,2,2,0,2,0,0,2,2,-2,-2,-2,2,2,-2 
"soccO","thethe",-2,2,-2,-2,-2,-1,-2,-2,-2,2,-2,-2,2,-2,2,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",2,-1,-2,-2,-2,-2,-2,2,0,-2,-2,-2,-2,-2,2,-2 
"grizR","ursarc",-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-1 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",-1,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,2,-2,2,-2 
