"PLAN","SPECIES","308LL","309LL","310LL","311LL","312LL","313LL","314LL","315LL","316LL","317LL","318LL","319LL","320LL","321LL","322LL","323LL","324LL","325LL","326LL","327LL","328LL","329LL","330LL","331LL","332LL","333LL","334LL","335LL","336LL","337LL","338LL","339LL","340LL","341LL","342LL","343LL"
"moloO","cyaman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyashi",-2,12,3,3,12,-2,12,-2,-2,12,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,1,1,-2,-2,-2,1,-2,1,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","cyrcya",-2,12,-2,-2,3,-2,12,3,3,3,-2,12,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kirtR","denkir",-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,-2,-3,-2,-3,-2,-2,-2,-2,-3,-3,-3,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2 
"tennR","echten",-2,-2,3,-2,1,-2,-2,-2,-2,3,3,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,12,-2,12,-2,-2,-2,-2,12,-2,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
