"PLAN","SPECIES","443XXX","444XXX","445XXX","446XXX","447XXX","448XXX","449XXX","450XXX","451XXX","452XXX","453XXX","454XXX","455XXX","456XXX","457XXX","458XXX"
"kauaO","hibwoo",-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"flscO","hypcum",-2,-2,-2,-2,2,2,2,1,1,-2,-2,-2,-2,-2,1,-2 
"smalR","isomed",1,1,1,2,2,2,1,1,2,1,2,-2,-2,2,1,2 
"beacO","jacrec",-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,2,2,-1,2,2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",2,2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",1,1,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,-2 
"kaupO","lipfau",1,1,1,1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,-2 
"oahpO","loboah",1,1,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1 
"lotiO","lycarg",-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2 
"roleO","lysasp",-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"apalO","macalb",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2 
"mohrO","marmoh",2,2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,1,2 
"kaupO","melpal",1,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2 
"oahpO","melsai",2,2,2,2,2,2,2,2,2,3,-2,-2,-2,-2,-2,-2 
"armaO","miccal",1,1,1,-2,2,2,-2,1,1,1,-2,-2,1,1,1,-2 
"hualO","micmex",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",1,1,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"kaufO","myapal",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,-2,1,-2,-2,1,-2,3,3,3,-2,-2,-2,-2,-2,-2 
"oahpO","nothum",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2 
"ringO","oboret",2,2,2,2,2,2,-2,-2,2,1,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",2,-2,-2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,1,-2 
"coluR","odvile",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"antiR","oendel",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",1,1,1,1,1,1,-2,1,1,1,1,-2,-2,1,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",2,-2,-2,2,2,-2,2,2,2,3,-2,-2,3,-2,1,-2 
"prcrO","pellem",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",3,3,-2,3,-2,-2,2,3,3,3,-2,-2,-2,3,-2,3 
"lanaO","phygla",-2,2,2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"biadO","phyrac",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,2,-2,2,-2,-2,2,2,-2,-2,-2,-2,1,-2 
"flscR","polbas",-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",-2,3,3,-2,-2,1,3,3,-2,-2,3,-2,-2,1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",2,2,2,2,2,2,1,2,2,1,.,.,.,1,2,. 
"harpO","ptinod",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2 
"coloR","ptyluc",-2,2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,1,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1 
"alamO","pyrneo",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,-2,-2,2,-2,-2,3,2,-2,-2,-2,2,-2,-2,3,-2 
"selkR","rantar",-2,-2,-2,1,-2,1,-2,2,2,-2,-2,-2,-2,-2,2,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"grpiR","sarore",-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pallO","scaalb",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"maplO","schhal",1,1,1,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,1,-2 
"oahpO","schkaa",2,-2,-2,2,-2,-2,-2,-2,1,1,2,3,-2,2,-2,-2 
"oahpO","schkea",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",1,1,1,1,1,1,-2,2,2,2,2,-2,-2,2,1,-2 
"delmR","scinig",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"enruO","soldry",1,-2,-2,2,-2,-2,-1,-1,1,1,2,-1,-2,2,1,1 
"hougO","solhou",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",2,-2,-2,2,-2,-2,2,2,1,-2,2,-2,-2,2,-2,-2 
"caleO","steant",1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",1,-2,-2,1,-2,-2,1,2,2,2,2,-2,-2,2,1,-2 
"mexiO","strocc",-2,-2,-2,1,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2 
"loweO","sylpal",2,2,2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,2 
"lanaO","tetrem",-2,1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"karsO","texred",-2,-2,-2,-1,-2,-2,1,1,1,1,-2,-2,-1,-1,-1,-2 
"coolO","thacoo",1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,1,-1 
"pedaO","theste",-2,2,-2,2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2 
"soccO","thethe",-2,1,-2,-2,-2,1,-2,-2,-2,1,-2,-2,1,-2,1,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,1,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2 
"grizR","ursarc",-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,-2 
"edwaR","ziztex",1,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,-2,2,-2 
