"PLAN","SPECIES","89A","90A","91A","92A","93A","94A","95A","96A","97A","98A","99A","100A","101A","102A","103A","104A","105A","106A","107A","108A","109A","110A","111A","112A","113A","114A","115A","116A","117A","118A","119A","120A","121A","122A","123A","124A","125A","126A"
"bradO","pedbra",1,1,-2,-2,-2,1,3,1,1,1,1,1,1,1,3,3,3,3,1,1,1,3,3,2,2,3,3,3,3,1,3,3,3,3,1,3,3,1 
"furbR","pedfur",1,1,-2,-2,-2,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,3,3,3,3,3,3,3,-2,-2,3,1,1,1,1 
"prcrO","pellem",1,1,3,3,3,3,3,1,1,3,-2,1,1,1,3,3,3,-2,3,1,3,3,3,3,-2,3,1,1,3,-2,1,3,3,-2,1,2,3,-2 
"anasO","perpol",1,1,3,3,3,1,1,1,1,1,1,-1,1,1,-2,1,1,-2,1,1,3,1,1,1,1,3,3,3,3,-2,1,1,1,1,1,1,1,-2 
"snaiR","pertan",1,1,3,3,3,1,3,2,1,1,3,1,1,1,3,1,3,3,1,1,3,1,3,3,3,3,3,3,3,3,1,1,3,3,1,3,3,3 
"lanaO","phygla",1,1,-2,-2,-2,1,1,1,1,3,3,1,3,3,3,3,3,3,1,2,3,2,2,-2,1,3,3,3,3,1,-2,-2,-2,-2,1,3,3,3 
"biadO","phyrac",1,3,-2,-2,-2,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,2,2,2,2,2,1,1,2,3,3,1,3,3,3,1,1,1,3 
"redcR","picbor",1,-2,1,1,-2,1,1,1,1,1,3,1,1,1,3,1,3,3,3,1,1,3,3,3,1,1,3,3,1,3,1,1,1,1,1,3,1,3 
"ropiO","pleple",1,1,-2,-2,-2,1,3,1,1,1,3,3,1,1,-2,3,3,3,2,1,2,2,2,2,2,3,3,3,3,3,1,1,2,2,1,3,3,3 
"shenO","pleshe",1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,3,3,3,1,1,1,1,3,1,1,1,1,3,1,3,1,1,1,3,1,1,1,3 
"fishR","poeocc",1,1,3,3,3,1,1,1,3,3,-2,3,3,1,1,1,3,-2,1,3,1,3,3,3,-2,3,3,3,3,-2,3,3,3,-2,1,3,3,-2 
"cavpO","pognud",1,1,-2,-2,-2,1,1,1,1,1,3,3,1,1,-2,3,3,3,3,1,3,3,3,3,3,1,1,1,1,3,-2,-2,-2,-2,1,1,1,3 
"flscR","polbas",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,-1,-1,3,3,1,1,3,1,3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,3,1,3 
"fatpR","potcap",1,1,3,3,3,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3 
"littO","potcly",1,1,-2,-2,-2,1,1,1,1,3,3,1,1,1,3,2,2,3,3,2,2,2,2,2,3,1,1,2,3,3,2,-2,-2,-2,1,1,1,3 
"flscR","prugen",1,1,-2,-2,-2,3,1,3,1,3,3,1,3,1,3,3,1,3,1,1,3,3,3,3,3,1,3,3,3,3,-2,-2,-2,-2,3,1,1,3 
"guamO","ptemar",1,1,1,1,2,1,1,1,1,3,3,1,3,1,3,2,3,3,2,1,1,1,2,2,3,3,3,3,3,3,1,1,1,3,1,1,3,3 
"harpO","ptinod",1,1,-2,-2,-2,1,-2,1,1,-2,1,1,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,1,1,-2,-2,1,-2,-2,-2,1,-2,1,-2 
"coloR","ptyluc",1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,3,3,3,3,1,3,1,3,3,1,3,3,2,2,3,1,1,1,3,1,1,1,3 
"flopR","pumcon",1,1,-2,-2,-2,1,1,1,1,3,3,1,3,1,3,3,1,-2,3,1,1,1,3,3,-2,3,3,-2,-2,1,3,1,1,-2,1,3,3,-2 
"alamO","pyrneo",1,1,3,3,3,3,3,2,1,3,-2,3,3,1,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,-2,3,3,1,-2,2,3,3,-2 
"tombO","quasta",1,1,3,3,-2,1,1,1,1,1,3,3,-2,1,1,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3 
