"PLAN","SPECIES","347RR","348RR","349RR","350RR","351RR","352RR","353RR","354RR","355RR","356RR","357RR","358RR","359RR","360RR","361RR","362RR","363RR","364RR","365RR","366RR","367RR","368RR","369RR",370RR"
"gnomO","gymlin",3,2,1,3,3,3,-2,-2,2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,3,3 
"todsO","hedtod",2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",2,2,-2,2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",1,2,2,2,-2,1,-2,-2,2,-2,-2,-1,1,-2,-2,-2,-2,1,1,-2,-2,1,1,-2 
"kaupO","hibcla",2,2,2,2,2,2,-1,-1,-1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-1,-1,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"flscO","hypcum",2,2,2,2,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3 
"smalR","isomed",2,2,2,2,-2,1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",3,3,3,3,3,3,2,2,3,3,-2,-2,-2,-2,-2,3,-2,3,-2,2,2,3,3,-2 
"oahpO","labcyr",-2,2,2,2,2,-2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"pinkO","lamabr",3,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"caroO","lasdec",1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,-2,2,-2,-2 
"praiO","leslep",1,-2,1,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,2,2,2,2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2 
"kaupO","lipfau",2,2,2,2,2,2,-1,-1,-1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",2,2,2,2,2,3,3,2,2,-1,1,1,-2,-2,-1,-1,-1,3,-2,3,3,3,3,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2 
