"PLAN","SPECIES","130H","131H","132H","133H","134H","135H","136H","137H","138H","139H","140H","141H","142H","143H","144H","145H","146H","147H","148H","149H","150H","151H","152H","153H","154H","155H","156H","157H","158H","159H","160H","161H","162H","163H","164H","165H","166H","167H"
"seveO","erymen",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2 
"threO","eryter",-1,2,-2,-2,-2,-1,-1,-1,2,-2,-2,2,2,2,-1,2,2,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,2,2,-1,-1 
"slacO","ethbos",2,2,-2,2,3,3,3,-2,2,-2,-2,3,-2,3,-2,3,-2,-2,3,-2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2 
"edwaR","ethfon",1,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,-2,1,1,2,2,-2,2,2,2,-2,2,2,-2,1,1,1,-2,-2,-2,2,2,-2,2,2,2,-2 
"wateR","ethnuc",2,1,-2,-2,-2,1,1,-2,-2,-2,2,1,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",1,1,-2,-2,-2,1,1,-2,1,-2,-2,3,1,3,3,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,1,-2 
"bayoR","ethrub",3,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-1,-2,-2,-2 
"edwaR","eurnan",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2 
"pereO","falper",-2,-2,1,1,1,1,1,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2 
"ampeO","falper",-2,1,2,1,2,1,1,1,1,-2,-2,1,-2,1,1,1,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,1,2,-2,-2 
"hawwR","fulame",1,1,2,2,2,1,1,-1,1,-1,-2,2,2,2,2,2,-1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,1,-2,-2,-2 
"lanaO","gahlan",2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,1,-2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
