"PLAN","SPECIES","89F","90F","91F","92F","93F","94F","95F","96F","97F","98F","99F","100F","101F","102F","103F","104F","105F","106F","107F","108F","109F","110F","111F","112F","113F","114F","115F","116F","117F","118F","119F","120F","121F","122F","123F","124F","125F","126F"
"missR","grucan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"cacoR","gymcal",-2,-2,1,1,-2,-2,-2,0,0,-2,1,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,1,0,-2,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2 
"gnomO","gymlin",1,1,-2,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-2,-2,-2,-2,1,1,1,1 
"todsO","hedtod",0,1,-2,-2,-2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,-2,1,1,1,1,1 
"oahpO","hesarb",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0 
"moloO","hibarn",1,0,-2,-2,-2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"kaupO","hibcla",1,1,-2,-2,-2,0,0,0,1,0,-2,1,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"kauaO","hibwoo",1,1,-2,-2,-2,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,-2,-2,1,-2,-2,-2,-2,1,1,1,1 
"hawwR","himmex",0,0,0,0,-2,1,1,0,0,-2,-2,1,-2,0,0,-2,0,-2,-2,0,0,-2,1,-2,-2,-2,-2,-2,-2,-2,1,0,1,-2,0,-2,-2,-2 
"flscO","hypcum",1,1,-2,-2,-2,1,1,-2,1,1,-2,1,1,1,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"smalR","isomed",0,1,-2,-2,-2,1,1,0,1,-2,-2,0,1,1,-2,-2,1,-2,-2,1,1,-2,-2,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"beacO","jacrec",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"oahpO","labcyr",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,1,0,0 
"pinkO","lamabr",0,1,-2,-2,-2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"snakO","lanxsp",1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0 
"caroO","lasdec",1,0,0,0,-2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0 
"praiO","leslep",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0 
"flscR","liaohl",0,1,-2,-2,-2,1,1,0,1,1,-2,-2,1,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"kaupO","lipfau",1,1,-2,-2,-2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,-2,-2,-2,-2,1,1,1,-2 
"oahpO","loboah",1,1,-2,-2,-2,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,-2,1,0,0,0,1,1,0,0,0,1,1,0,0 
"flscR","lupari",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"lotiO","lycarg",1,1,0,0,0,0,0,0,0,0,-2,1,0,0,0,1,0,-2,1,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"roleO","lysasp",0,1,-2,-2,-2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,-2,0,0,0,1,0 
"apalO","macalb",1,-2,-2,-2,-2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,-2,-2,-2,-2,-2,-2,1,0 
"mohrO","marmoh",1,1,0,0,0,0,-1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 
"kaupO","melpal",0,0,-2,-2,-2,-2,-2,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",1,1,-2,-2,-2,1,1,0,1,1,-2,1,1,1,1,1,0,0,0,1,1,1,1,0,-2,1,1,1,1,-2,-2,-2,-2,-2,1,0,-2,-2 
"armaO","miccal",1,1,0,0,-2,0,0,-2,0,1,-2,0,0,0,0,0,0,-2,1,1,1,1,1,1,-2,1,-2,1,1,-2,0,1,0,-2,0,0,0,-2 
"hualO","micmex",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"blacR","musnig",0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0 
"kaufO","myapal",0,1,-2,-2,-2,1,1,0,1,-2,-2,0,-2,0,0,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,1,1,-2,-2 
"woodO","mycame",1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0 
"indiR","myosod",1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 
"oahpO","nothum",0,1,-2,-2,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,1,1,0,0 
"capeO","notmek",0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"neosO","notpla",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0 
"ringO","oboret",1,1,-2,-2,-2,1,1,0,1,0,-2,0,1,1,-2,1,0,-2,1,1,-2,1,1,1,-2,0,0,0,0,-2,1,1,-2,-2,1,1,0,-2 
"keydR","odvicl",0,-2,-2,-2,-2,1,0,0,0,-2,-2,0,-2,1,-2,0,-2,-2,0,-2,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,0,0,-2,1,-2,-2,-2 
"coluR","odvile",0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0 
"antiR","oendel",0,0,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,1,0,0,-2,1,0,0,0,1,-2,1,0,0,0,0,0,-2,-2,-2,-2,1,0,1,-2 
"arizR","oncapa",0,0,0,0,-2,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,0,0,0,0,0,-2,-2,0,0,-2,0,0,-2,-2 
"grcuR","onccla",1,1,1,1,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2,-2 
"gilaR","oncgil",0,0,-2,-2,-2,1,1,0,0,0,0,0,0,1,-2,-2,-2,-2,1,0,1,0,-2,-2,-2,1,-2,0,0,0,-2,1,0,-2,0,1,0,-2 
"nashR","orcsho",1,1,-2,-2,-2,1,-2,1,1,-2,-2,1,-2,1,-2,1,-2,-2,1,0,1,1,1,1,-2,0,1,0,0,-2,0,0,0,0,1,0,-2,-2 
"flscR","parcha",0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,-2,0,-2 
"mamoO","parfla",1,1,1,1,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",1,1,-2,-2,-2,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1 
"furbR","pedfur",0,1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0 
"prcrO","pellem",0,0,-2,-2,-2,-2,-2,0,1,-2,-2,0,0,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,0,-2,-2,-2,1,1,-2,-2 
"anasO","perpol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"snaiR","pertan",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","phygla",1,0,-2,-2,-2,0,0,0,1,0,-2,1,1,1,0,1,1,0,1,1,1,1,1,-2,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"biadO","phyrac",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"redcR","picbor",0,-2,0,0,-2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"ropiO","pleple",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"shenO","pleshe",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,-2 
"fishR","poeocc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cavpO","pognud",0,0,-2,-2,-2,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,0,0,0,-2 
"flscR","polbas",0,1,-2,-2,-2,0,1,0,0,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,0,0 
"fatpR","potcap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
