"PLAN","SPECIES","347PP","348PP","349PP","350PP","351PP","352PP","353PP","354PP","355PP","356PP","357PP","358PP","359PP","360PP","361PP","362PP","363PP","364PP","365PP","366PP","367PP","368PP","369PP","370PP"
"lanaO","gahlan",-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,1,-2,-2,2,-2,-2,-2,1,-2,-2 
"hawwR","galchl",2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2 
"edwaR","gamgeo",-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2 
"hawgO","garbri",-2,2,-2,3,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"maplO","gerarb",-2,1,1,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,1,1,-2,1,1,1,1,-2 
"humpR","gilcyp",-2,2,2,2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"chihO","gilnig",-2,2,2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,-2 
"fishR","gilpur",-2,-2,2,2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,2,-2,-2,-2,1,-2,1,-2 
"missR","grucan",2,2,2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",3,2,2,3,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,1 
"todsO","hedtod",2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",1,1,-2,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",3,3,3,3,-2,3,-2,-2,3,-2,-2,3,3,-2,-2,-2,-2,1,1,-2,-2,3,3,-2 
"kaupO","hibcla",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",1,1,-2,1,1,1,1,-2,1,-2,-2,1,-2,-2,1,2,-2,1,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"flscO","hypcum",2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"smalR","isomed",1,1,1,1,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",2,2,2,2,2,2,2,2,2,1,-2,-2,-2,-2,-2,2,-2,2,-2,2,2,2,2,-2 
"oahpO","labcyr",-2,2,2,2,2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"pinkO","lamabr",2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,1,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"caroO","lasdec",2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,2,-2,-2 
"praiO","leslep",2,-2,2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
