"PLAN","SPECIES","347WW","348WW","349WW","350WW","351WW","352WW","353WW","354WW","355WW","356WW","357WW","358WW","359WW","360WW","361WW","362WW","363WW","364WW","365WW","366WW","367WW","368WW","369WW","370WW"
"kirtR","denkir",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2 
"flomO","dicchr",-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2 
"tennR","echten",-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2 
"tarrR","ellste",1,1,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2 
"antiR","erycap",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"seveO","erymen",-2,1,1,1,1,1,-1,-1,-1,-2,-2,-2,-2,-2,-2,1,-1,1,-2,-1,-2,-2,-2,-2 
"threO","eryter",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",2,1,1,-2,-2,1,2,2,2,-2,2,2,-2,2,-2,0,-2,-2,-2,2,2,-1,-1,-2 
"edwaR","ethfon",-3,-3,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-3,-3,-3,-3,-2 
"wateR","ethnuc",-2,0,1,-2,-2,1,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-3,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"elseO","eupbat",0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",1,1,-2,-2,-2,1,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"ampeO","falper",2,2,2,-2,-2,-2,-1,-1,-2,-2,2,-2,2,-1,-1,-2,-1,-2,-2,2,-2,2,-2,2 
"hawwR","fulame",1,1,1,1,1,1,1,-1,-1,-1,1,-1,-2,1,1,1,1,1,-2,1,1,1,1,-2 
"lanaO","gahlan",-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,-2,-2,-2,0,-2,-2 
"hawwR","galchl",-3,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2,-2 
"edwaR","gamgeo",-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2 
"hawgO","garbri",-2,2,-2,0,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"maplO","gerarb",-2,1,1,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,2,2,0,2,-2,1,1,1,1,-2 
"humpR","gilcyp",-2,1,1,1,1,-2,1,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"chihO","gilnig",-2,-3,-3,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-3,-3,-2 
"fishR","gilpur",-2,-2,-3,-3,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,1,-2,-2,-2,1,-2,1,-2 
"missR","grucan",1,1,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",1,1,1,1,1,1,-2,-2,1,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,1 
"todsO","hedtod",0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",1,1,1,1,1,1,1,-2,-3,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",0,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,1,0,-2,-2,0,0,-2 
"kaupO","hibcla",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
