"PLAN","SPECIES","89D","90D","91D","92D","93D","94D","95D","96D","97D","98D","99D","100D","101D","102D","103D","104D","105D","106D","107D","108D","109D","110D","111D","112D","113D","114D","115D","116D","117D","118D","119D","120D","121D","122D","123D","124D","125D","126D"
"moloO","hibarn",2,2,-2,-2,-2,2,-2,0,2,-2,-2,2,2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,2,0,-2,-2 
"kaupO","hibcla",3,3,-2,-2,-2,5,5,0,2,2,-2,2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2 
"kauaO","hibwoo",2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"hawwR","himmex",0,0,0,0,-2,2,2,2,0,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,2,0,-2,2,-2,-2,-2 
"flscO","hypcum",1,1,-2,-2,-2,1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2 
"smalR","isomed",1,3,-2,-2,-2,1,5,0,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2 
"beacO","jacrec",4,4,-2,-2,-2,4,3,1,4,4,-2,3,-2,2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,-2 
"oahpO","labcyr",2,2,-2,-2,-2,2,2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"pinkO","lamabr",2,2,-2,-2,-2,2,2,1,5,-2,-2,-2,5,3,-2,-2,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,1,-2,-2,-2 
"snakO","lanxsp",2,2,-2,-2,-2,0,-2,-2,2,0,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"caroO","lasdec",3,3,-2,-2,-2,-2,-2,2,2,0,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"praiO","leslep",0,0,-2,-2,-2,-2,-2,2,0,-2,-2,0,0,0,-2,2,-2,-2,0,2,3,0,0,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,2,3,0,-2 
"flscR","liaohl",2,2,-2,-2,-2,2,1,1,1,2,-2,-2,2,-2,-2,-2,-2,-2,2,3,3,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"kaupO","lipfau",3,3,-2,-2,-2,5,5,2,2,2,-2,2,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2 
"oahpO","loboah",5,-2,-2,-2,-2,0,0,5,5,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"flscR","lupari",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"lotiO","lycarg",1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"roleO","lysasp",2,0,-2,-2,-2,0,0,0,2,2,-2,-2,0,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,3,-2,3,-2 
"apalO","macalb",3,-2,-2,-2,-2,3,3,-2,2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"mohrO","marmoh",-1,-2,-2,-2,-2,-2,-2,1,2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"kaupO","melpal",0,0,-2,-2,-2,-2,-2,5,5,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"armaO","miccal",2,2,2,2,-2,2,2,-2,2,2,-2,2,2,2,2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,2,2,2,-2 
"hualO","micmex",2,2,-2,-2,-2,0,0,0,0,0,-2,-2,2,2,-2,2,-2,-2,-2,0,4,-2,-2,-2,2,-2,-2,-2,0,-2,-2,-2,2,-2,0,2,0,0 
"blacR","musnig",2,2,-2,-2,-2,-2,2,2,2,1,-2,0,-2,2,-2,2,1,-2,4,0,4,1,-2,-2,-2,1,5,-2,-2,-2,2,5,2,1,2,-2,-2,-2 
"kaufO","myapal",0,0,-2,-2,-2,5,5,0,0,-2,-2,5,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,0,-2,5,5,-2,-2 
"woodO","mycame",0,-2,5,4,-2,2,2,4,0,-2,-2,5,-2,2,-2,-2,-2,-2,-2,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,3,-2,5,-2 
"indiR","myosod",1,1,-2,1,2,3,3,-2,1,-2,-2,2,2,0,-2,-2,-2,-2,-2,2,0,-2,-2,-2,2,-2,-2,-2,-2,-2,4,0,-2,1,-2,-2,-2,-2 
"oahpO","nothum",3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",2,2,-2,-2,-2,0,2,2,2,0,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
