"PLAN","SPECIES","347OO","348OO","349OO","350OO","351OO","352OO","353OO","354OO","355OO","356OO","357OO","358OO","359OO","360OO","361OO","362OO","363OO","364OO","365OO","366OO","367OO","368OO","369OO","370OO"
"moloO","hibarn",1,1,1,1,0,1,0,0,1,0,-2,1,1,0,0,0,0,2,1,0,0,1,1,0 
"kaupO","hibcla",3,3,3,3,3,3,3,3,3,0,-2,0,0,-2,1,1,0,0,0,0,0,0,0,0 
"kauaO","hibwoo",3,3,0,1,1,3,1,0,1,0,-2,1,0,-2,1,1,0,1,0,0,0,0,0,0 
"hawwR","himmex",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0 
"flscO","hypcum",2,2,2,2,2,2,2,2,2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3 
"smalR","isomed",5,4,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"beacO","jacrec",5,5,5,5,5,5,4,4,1,2,-2,0,0,-2,-2,5,0,5,0,6,6,5,5,0 
"oahpO","labcyr",0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0 
"pinkO","lamabr",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"snakO","lanxsp",0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0 
"caroO","lasdec",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0 
"praiO","leslep",2,0,1,0,0,1,1,0,1,0,-2,-2,0,-2,0,0,0,0,0,0,0,0,0,0 
"flscR","liaohl",0,3,3,3,3,3,1,0,0,2,0,0,-2,-2,0,0,0,0,-2,1,0,3,3,-2 
"kaupO","lipfau",3,3,3,3,3,3,3,3,3,0,-2,0,0,-2,1,1,0,0,0,0,0,0,0,0 
"oahpO","loboah",1,1,1,1,1,1,2,3,2,1,1,1,-2,-2,3,2,1,4,-2,1,1,2,2,-2 
"flscR","lupari",0,0,0,0,0,0,0,0,0,0,-2,-2,1,0,0,0,0,2,0,0,0,0,0,0 
"lotiO","lycarg",1,2,0,1,0,0,0,0,0,0,0,0,0,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"roleO","lysasp",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0 
"apalO","macalb",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"mohrO","marmoh",1,2,1,1,1,1,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1 
"kaupO","melpal",3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0 
"oahpO","melsai",2,2,2,2,2,2,2,1,2,2,-2,-2,-2,-2,-2,3,1,4,1,3,3,3,3,-2 
"armaO","miccal",0,1,3,3,3,3,0,0,1,2,0,0,-2,0,0,0,0,0,-2,1,1,0,0,-2 
"hualO","micmex",1,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,1,0,0,1,1,0 
"blacR","musnig",6,7,0,0,0,5,6,6,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0 
"kaufO","myapal",2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
"woodO","mycame",1,1,1,0,0,0,1,1,1,1,2,0,0,2,0,0,0,0,-2,2,0,0,0,-2 
"indiR","myosod",0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0 
