"PLAN","SPECIES","130G","131G","132G","133G","134G","135G","136G","137G","138G","139G","140G","141G","142G","143G","144G","145G","146G","147G","148G","149G","150G","151G","152G","153G","154G","155G","156G","157G","158G","159G","160G","161G","162G","163G","164G","165G","166G","167UUU"
"oahpO","cyrvir",1,0,-2,-2,-2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,-2,0,2,1,0,0 
"kirtR","denkir",1,0,0,1,1,0,1,0,1,0,-3,3,0,3,0,1,0,-3,0,0,0,0,0,0,-3,0,0,0,0,-3,0,0,0,-3,1,0,0,-3 
"flomO","dicchr",1,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,-2,-2,-2,0,0,1,0 
"tennR","echten",0,3,-2,-2,-2,3,1,0,1,0,-2,3,1,2,-2,1,0,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,0,-2,-2,-2,1,4,2,2 
"tarrR","ellste",1,1,1,1,3,1,3,3,3,3,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0 
"cavpO","eryari",1,4,-2,-2,-2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,-2,-2,0,2,2,0,0 
"antiR","erycap",1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,-2,-2,-2,-2,0,0,1,1 
"flscR","erycun",1,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0 
"seveO","erymen",1,0,-2,-2,-2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0 
"threO","eryter",0,1,-2,-2,-2,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,1,1,0,-1 
"slacO","ethbos",3,4,0,4,1,1,1,0,2,0,0,1,0,1,0,1,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0 
"edwaR","ethfon",1,2,0,0,0,1,1,0,1,0,-2,1,0,1,1,1,1,-2,1,1,1,0,1,1,-2,1,1,1,0,-2,0,1,1,-2,2,1,1,-2 
"wateR","ethnuc",1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0 
"okalO","ethoka",2,1,0,0,0,2,2,0,1,0,-2,1,1,1,1,0,0,-2,1,1,1,1,1,1,-2,0,0,0,0,-2,1,1,1,-2,2,0,1,-2 
"bayoR","ethrub",1,1,0,0,0,16,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"maryR","ethsel",2,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"elseO","eupbat",1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0 
"edwaR","eurnan",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0 
"pereO","falper",0,0,1,6,16,1,1,4,4,0,-2,1,0,1,0,0,0,-2,0,0,0,0,1,0,-2,0,0,0,0,-2,0,7,2,12,5,0,0,-2 
"ampeO","falper",-2,3,3,7,3,5,1,1,3,-2,-2,2,-2,1,2,6,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,2,1,1,-2,9,1,-2,-2 
"hawwR","fulame",12,12,1,2,1,28,28,-1,28,-1,-2,6,6,6,6,1,0,-2,0,0,1,0,1,1,-2,0,0,0,0,-2,1,1,1,-2,5,0,0,-2 
"lanaO","gahlan",1,1,-2,-2,-2,-2,1,1,0,0,0,0,-2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-2,-2,-2,-2,6,0,0,0 
"hawwR","galchl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0 
"edwaR","gamgeo",1,1,-2,-2,-2,15,1,0,1,-2,-2,2,-2,1,-2,2,0,-2,0,1,1,1,1,1,-2,0,-2,-2,-2,0,0,0,1,-2,1,0,0,-2 
"hawgO","garbri",0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,1,-2,0,0,-2,0,2,0,0,0,0,-2,1,11,11,-2,-2,-2,-2,-2,-2,4,1,0,-2 
"unarR","gasacu",1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0 
"maplO","gerarb",1,1,-2,-2,-2,1,1,0,1,1,0,1,1,1,-2,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,-2,-2,-2,1,1,0,1 
"humpR","gilcyp",1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,2,1,0,2,0,0,0 
"bonyR","gilele",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,1,0,0,2,0,1,2,1,0,1,0,0,2 
"chihO","gilnig",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0 
"fishR","gilpur",1,2,-1,-1,-1,3,3,3,3,3,3,1,3,1,3,1,3,3,1,3,1,1,1,1,3,1,3,1,3,3,3,3,3,1,1,3,3,3 
"whooR","gruame",5,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,4 
"missR","grucan",0,0,0,0,-2,-2,-2,-2,2,-2,-2,2,-2,2,-2,4,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0 
"cacoR","gymcal",0,0,2,2,0,4,9,0,9,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0 
"gnomO","gymlin",1,0,-2,-2,-2,0,0,0,1,0,0,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0 
"todsO","hedtod",2,2,-2,2,-2,2,2,2,1,1,1,1,1,1,1,1,0,2,2,2,2,1,1,1,2,0,0,0,0,0,1,1,0,1,1,1,3,1 
"oahpO","hesarb",1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0 
"moloO","hibarn",1,0,-2,-2,-2,0,0,0,1,0,0,1,0,0,0,2,2,0,1,1,0,0,1,0,1,1,0,0,0,0,-2,-2,-2,-2,2,1,0,1 
"kaupO","hibcla",1,1,-2,-2,-2,0,0,0,1,0,0,1,0,0,0,4,1,0,2,1,1,2,1,1,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"kauaO","hibwoo",1,0,-2,-2,-2,0,0,0,1,0,0,3,0,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,2,2,0,0 
"hawwR","himmex",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0 
"flscO","hypcum",1,2,-2,-2,-2,2,2,0,2,2,-2,2,2,2,3,3,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,1,1,1,-2 
"smalR","isomed",0,3,0,0,0,1,1,0,2,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0 
"beacO","jacrec",1,0,-2,-2,-2,3,4,0,2,0,0,2,0,3,-2,1,0,0,0,0,2,3,2,3,2,1,0,0,0,0,-2,-2,-2,-2,2,3,2,0 
"oahpO","labcyr",1,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,-2,-2,-2,-2,0,1,0,0 
"pinkO","lamabr",1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"snakO","lanxsp",2,10,0,0,0,2,0,0,2,0,0,2,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0 
"caroO","lasdec",1,0,0,0,-2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0 
"praiO","leslep",1,1,0,0,0,0,0,0,2,0,0,3,3,3,4,5,1,0,1,3,3,1,2,0,0,0,1,1,0,0,0,0,0,0,2,3,1,0 
"flscR","liaohl",0,1,-2,-2,-2,1,0,0,2,0,-2,2,2,2,0,0,0,-2,0,1,0,0,0,0,-2,0,1,1,0,-2,-2,-2,-2,-2,0,0,1,-2 
"kaupO","lipfau",1,1,-2,-2,-2,0,0,0,1,0,0,1,0,0,0,4,1,0,2,1,1,2,1,1,0,0,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"oahpO","loboah",3,3,-2,-2,-2,1,1,0,1,0,0,3,3,2,0,2,0,0,1,1,1,2,2,2,1,1,0,0,2,1,2,-2,-2,0,4,2,1,0 
"flscR","lupari",0,3,-2,-2,-2,0,0,0,3,-2,-2,2,2,0,-2,1,1,-2,0,0,0,0,0,0,0,1,0,0,0,0,-2,-2,-2,-2,0,0,0,1 
"lotiO","lycarg",2,2,2,0,0,0,0,0,1,0,2,3,1,0,0,1,0,2,1,0,1,2,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0 
"roleO","lysasp",0,1,-2,-2,-2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,-2,-2,0,0,0,1,0 
