"PLAN","SPECIES","405FFF","406FFF","407FFF","408FFF","409FFF","410FFF","411FFF","412FFF","413FFF","414FFF","415FFF","416FFF","417FFF","418FFF","419FFF","420FFF"
"chapO","rhocha",-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"grpiR","sarore",-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-2,-2,-2,-2 
"pallO","scaalb",1,2,2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,2,-1,-1 
"maplO","schhal",2,2,2,2,2,2,2,2,1,2,-1,-1,-2,-1,1,-2 
"oahpO","schkaa",2,2,2,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,1,-2 
"oahpO","schkea",2,2,2,2,2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1 
"kaupO","schspe",2,2,2,2,2,2,-1,-1,-1,3,2,-2,-2,3,3,-2 
"delmR","scinig",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"enruO","soldry",2,-2,-2,2,-2,-2,-1,-1,1,3,1,-1,-2,2,2,3 
"hougO","solhou",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",2,-2,-2,2,-2,-2,3,3,3,1,2,-1,-1,2,1,-2 
"caleO","steant",2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",2,2,2,2,2,2,-1,-1,-1,3,2,-2,-2,3,3,-2 
"mexiO","strocc",-2,-2,-2,2,-2,2,-2,3,3,1,-2,1,-2,-2,-2,-2 
"loweO","sylpal",2,2,2,-2,-2,-2,-1,2,1,-1,-1,-1,-2,-1,2,1 
"lanaO","tetrem",-2,2,2,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,1 
"karsO","texred",-1,-2,-2,-1,-2,-2,2,3,-1,1,-1,-2,-1,-1,1,-2 
"coolO","thacoo",2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1 
"pedaO","theste",-2,2,-2,1,1,1,1,1,-2,1,-2,-2,-2,1,1,-2 
"soccO","thethe",-2,2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,1,-2,1,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",2,2,2,2,2,2,-1,-1,-1,-1,-1,-2,-2,1,1,-2 
"attwR","tymcup",2,2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,3,-2 
"grizR","ursarc",-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,2,-2,2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",2,2,2,2,2,2,2,2,1,3,-2,-2,-2,-2,2,-2 
"edwaR","ziztex",3,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,1,-2,1,-2 
