"PLAN","SPECIES","173V","174V","175V","176V","177V","178V","179V","180V","181V","182V","183V","184V","185V","186V","187V","188V","189V","190V","191V","192V","193V","194V","195V","196V","197V","198V","199V","200V","201V","202V","203V","204V","205V","206V","207V","208V","209V","210V","211V","212V","213V","214V","215V","216V","217V","218V","219V","220V","221V","222V","223V","224V","225V","226V","227V","228V","229V","230V","231V"
"chapO","rhocha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,5,-2,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,1,-2,-2,0,-2,0,-2,-2 
"grpiR","sarore",4,-2,2,2,2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,3,4,-2,-2,-2,-2,-2,-2 
"pallO","scaalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,-2,1,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,0,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1 
"maplO","schhal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,3,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,0,-2,-2,0,-2 
"oahpO","schkaa",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,0,-2 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,0,-2,-2,2,-2 
"kaupO","schspe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",3,3,-2,-2,3,-2,2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,1 
"enruO","soldry",0,0,0,0,0,-2,0,-2,-2,-2,-2,-2,0,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"hougO","solhou",-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2 
"alabR","spepou",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1,-2,-2,-2,-2,-2 
"caleO","steant",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,2,-2,-2 
"kaupO","stecam",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",-2,2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,2,0,0,2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,3,1,3,1,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2 
"loweO","sylpal",2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"lanaO","tetrem",0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,0,0 
"karsO","texred",1,1,1,1,1,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coolO","thacoo",0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,1,0,0,0,0 
"pedaO","theste",3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,0,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"soccO","thethe",-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,3,-2,0,-2,-2,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0 
"prfeO","theyau",-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"westR","triman",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,0,-2,-2,0,-2,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,1,0 
"bariO","tritri",-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",0,0,-2,-2,2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,-2,2,-2,-2,0,0,-2,-2,3,-2,0,-2,-2,-2,-2,0,-2,1,0,-2 
"grizR","ursarc",-2,-2,0,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,0,-2,0,0 
"flscR","warcar",1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0 
"flscR","zizcel",3,3,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,3,-2,-2,-2,-2 
"edwaR","ziztex",2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,2,2,2,-2,-2,-2,1,1,-2,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
