"PLAN","SPECIES","173V","174V","175V","176V","177V","178V","179V","180V","181V","182V","183V","184V","185V","186V","187V","188V","189V","190V","191V","192V","193V","194V","195V","196V","197V","198V","199V","200V","201V","202V","203V","204V","205V","206V","207V","208V","209V","210V","211V","212V","213V","214V","215V","216V","217V","218V","219V","220V","221V","222V","223V","224V","225V","226V","227V","228V","229V","230V","231V"
"tarrR","ellste",-2,-2,-2,-2,0,-2,2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,0,-2 
"cavpO","eryari",2,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,-2,3,-2,-2,-2,-2,-2,-2,3,0,0,-2,-2,-2,0,0,-2,-2,2,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,5,5,-2 
"antiR","erycap",0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2 
"flscR","erycun",3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"seveO","erymen",0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"threO","eryter",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,3,0,3,-2,-2,-2,0,0,-2 
"slacO","ethbos",0,0,0,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ethfon",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,2,-2,-2,0,2,2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,0,-2,-2,-2,-2,-2,0,-2 
"wateR","ethnuc",0,0,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,2,-2 
"okalO","ethoka",-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-1,-2,-2 
"bayoR","ethrub",0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
