"PLAN","SPECIES","235X","236X","237X","238X","239X","240X","241X","242X","243X","244X","245X","246X","247X","248X","249X","250X","251X","252X","253X","254X","255X","256X","257X","258X","259X","260X","261X","262X","263X","264X","265X","266X","267X","268X","269X","270X","271X","272X","273X","274X","275X","276X","277X","278X","279X","280X","281X","282X","283X","284X","285X","286X","287X","288X","289X","290X","291X","292X","293X"
"biplO","cyrgif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,-2,0,0,0,0,1,-2,0,2,0,0,-2,0,0,0,0,-2 
"oahpO","cyrvir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0 
"kirtR","denkir",0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,3,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,2,1,0,1,-3,0,1,0,0,-3,0,0,0,0,-3 
"flomO","dicchr",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0 
"tennR","echten",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-2,1,0,3,1,0,0,0,0,0,0,0,0 
"tarrR","ellste",0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,8635,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cavpO","eryari",0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,-2,0,0,0,2,3,0,0,0,0,0,2,0 
"antiR","erycap",6,-2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",5,5,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0 
"seveO","erymen",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0 
