"PLAN","SPECIES","173Q","174Q","175Q","176Q","177Q","178Q","179Q","180Q","181Q","182Q","183Q","184Q","185Q","186Q","187Q","188Q","189Q","190Q","191Q","192Q","193Q","194Q","195Q","196Q","197Q","198Q","199Q","200Q","201Q","202Q","203Q","204Q","205Q","206Q","207Q","208Q","209Q","210Q","211Q","212Q","213Q","214Q","215Q","216Q","217Q","218Q","219Q","220Q","221Q","222Q","223Q","224Q","225Q","226Q","227Q","228Q","229Q","230Q","231Q"
"selkR","rantar",-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,4,-2,3,-2,-2,-2,-2 
"kendO","rhiosc",-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,4,-2,4,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,3,-2,4,-2,-2 
"grpiR","sarore",3,-2,2,2,2,-2,2,2,2,2,2,-2,-2,2,-2,-2,2,-2,3,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2 
"pallO","scaalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,4,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4 
"maplO","schhal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,4,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,3,-2 
"oahpO","schkaa",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,3,-2,-2,-2,-1,-2,-2,4,-2 
"kaupO","schspe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2 
"delmR","scinig",4,4,-2,-2,4,-2,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,4 
"enruO","soldry",2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2 
"alabR","spepou",4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,3,4,-2,-2,-2,3,4,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,4,-2,-2,-2,-2,-2 
"caleO","steant",-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,4,-2,-2 
"kaupO","stecam",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"mexiO","strocc",-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2 
"loweO","sylpal",4,4,-2,-2,4,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4 
"lanaO","tetrem",3,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,2,3,3 
"karsO","texred",4,4,4,4,4,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coolO","thacoo",4,4,4,4,4,4,4,1,1,1,1,4,1,1,4,4,1,4,4,1,1,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4 
"pedaO","theste",4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,3,3,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,-2,-2,1,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"soccO","thethe",-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,3,4,-2,3,-2,-2,-2,-2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,4,4,3 
"prfeO","theyau",-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"westR","triman",-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,4,-2,-2,4,-2,4,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,4,4 
"bariO","tritri",-2,4,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",4,4,-2,-2,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,-2,3,-2,-2,3,4,-2,-2,3,-2,4,-2,-2,-2,-2,3,-2,4,4,-2 
"grizR","ursarc",-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,4,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,-2,4,4 
"flscR","warcar",4,4,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4 
"flscR","zizcel",2,2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,2,-2,3,-2,-2,-2,-2 
"edwaR","ziztex",2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,4,4,4,4,-2,-2,-2,4,4,-2,4,-2,4,4,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2 
