"grpiR","sarore",1,1,0,0,0,0,0,1,0,0,0 
"pallO","scaalb",0,1,0,0,0,0,0,2,0,0,3 
"maplO","schhal",0,2,0,0,0,1,0,3,0,0,0 
"oahpO","schkaa",0,2,0,3,0,1,0,0,0,0,0 
"oahpO","schkea",2,0,0,0,0,1,0,0,0,0,2 
"kaupO","schspe",0,0,0,0,2,1,0,3,0,0,0 
"delmR","scinig",1,2,0,0,0,0,0,0,2,0,0 
"enruO","soldry",2,3,0,0,0,0,0,0,1,0,0 
"hougO","solhou",1,0,2,0,0,0,0,3,0,0,0 
"alabR","spepou",0,3,0,0,0,0,2,0,0,0,1 
"caleO","steant",2,1,0,0,3,0,0,0,0,0,0 
"kaupO","stecam",0,1,0,0,2,1,0,3,0,0,0 
"mexiO","strocc",2,3,0,0,0,0,0,0,0,1,0 
"loweO","sylpal",1,0,0,0,2,3,0,0,0,0,0 
"lanaO","tetrem",1,3,0,0,0,2,0,0,0,0,0 
"karsO","texred",1,0,0,0,2,3,0,0,0,0,0 
"coolO","thacoo",1,1,1,1,1,0,0,1,0,0,1 
"pedaO","theste",1,2,0,1,0,0,0,0,0,3,0 
"soccO","thethe",1,3,0,0,0,0,0,0,0,0,2 
"prfeO","theyau",1,0,0,0,3,0,0,0,0,0,2 
"westR","triman",0,3,0,0,1,0,2,0,0,0,0 
"bariO","tritri",2,0,0,3,0,0,0,0,0,1,0 
"attwR","tymcup",1,2,0,0,0,0,0,0,3,0,0 
"grizR","ursarc",2,0,3,0,1,0,0,0,0,0,0 
"flscR","warcar",1,2,0,0,0,0,0,0,2,0,0 
"cachO","xanriv",0,2,0,0,0,1,0,3,0,0,0 
"flscR","zizcel",1,0,0,0,0,0,0,3,0,2,0 
"edwaR","ziztex",0,2,0,0,1,3,0,0,0,0,0 
