"PLAN","SPECIES","308II","309II","310II","311II","312II","313II","314II","315II","316II","317II","318II","319II","320II","321II","322II","323II","324II","325II","326II","327II","328II","329II","330II","331II","332II","333II","334II","335II","336II","337II","338II","339II","340II","341II","342II","343II"
"newmO","crowil",-2,-2,-2,-2,0,0,-2,-2,-2,-2,1,0,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,0,-2,-2,0,0,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","cyaman",-2,-2,-2,0,0,-2,0,0,0,-2,1,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyashi",-2,0,0,0,0,-2,0,0,-2,0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,1,0,-2,-2,-2,0,-2,0,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","cyrcya",-2,0,-2,-2,0,-2,0,0,0,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",-2,0,0,0,0,-2,0,0,-2,0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,0,0,-2,1,-2,1,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kirtR","denkir",-2,0,-2,-2,0,-2,-2,-2,0,-2,-2,0,0,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,-2,0,-2,0,-2,-2,-2,-2,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2 
"tennR","echten",-2,-2,0,-2,0,-2,-2,-2,-2,1,1,1,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
