"PLAN","SPECIES","308MM","309MM","310MM","311MM","312MM","313MM","314MM","315MM","316MM","317MM","318MM","319MM","320MM","321MM","322MM","323MM","324MM","325MM","326MM","327MM","328MM","329MM","330MM","331MM","332MM","333MM","334MM","335MM","336MM","337MM","338MM","339MM","340MM","341MM","342MM","343MM"
"bayoR","ethrub",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0 
"elseO","eupbat",-2,0,-2,-2,0,0,-2,-2,0,-2,-2,0,0,-2,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-2,-2,-2,-2,0,-2,1,0,-2,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pereO","falper",-2,0,0,-2,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ampeO","falper",0,0,-2,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"hawwR","fulame",-2,-2,-2,-2,-2,1,4,1,1,-2,-2,3,2,-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",-2,4,-2,-2,2,-2,6,2,4,-2,5,2,3,2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",-2,-2,-2,-2,-2,1,6,-2,-2,-2,1,8,2,-2,1,4,-2,4,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"edwaR","gamgeo",-2,0,-2,-2,0,-2,2,0,2,2,-2,6,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",-2,0,-2,-2,0,-2,0,0,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-2,0,-2,0,-2,-2,-2,-2,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",-2,0,-2,0,0,-2,1,0,1,1,-2,-2,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,0,-2,-2,0,0,0,-2,0,0,-2,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,0,-2,-2,0,-2,-2,-2,1,1,0,2,1,-2,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"chihO","gilnig",-2,0,-2,-2,0,0,-2,-2,0,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","gilpur",-2,0,-2,-2,-2,-2,-2,-2,0,0,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",-2,0,-2,-2,0,0,-2,0,-2,-2,-2,0,0,-2,0,-2,-2,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",0,0,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",0,0,0,-2,0,0,0,-2,-2,-2,-2,0,0,-2,0,0,-2,0,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-2,-2,0,-2,0,-2,-2,-2,0,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"todsO","hedtod",-2,-2,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-2,0,-2,-2,0,0,0,0,0,-2,-2,9,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,2,-2,2,2,-2,-2,4,5,-2,7,4,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"kaupO","hibcla",-2,5,6,-2,4,-2,15,6,16,5,-2,19,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,3,-2,6,-2,1,1,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,-2,-2,-2,-2,1,6,3,1,-2,-2,6,1,-2,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"flscO","hypcum",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,4,4,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"smalR","isomed",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",-2,0,0,-2,0,0,-2,-2,0,0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0 
"oahpO","labcyr",-2,2,-2,-2,1,-2,2,-2,-2,1,-2,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pinkO","lamabr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"snakO","lanxsp",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,11,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,11,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,3 
"caroO","lasdec",-2,0,-2,-2,0,-2,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,4,4,-2,2,-2,-2,-2,-2,-2,-2,3,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"kaupO","lipfau",-2,5,6,2,4,-2,15,6,16,5,-2,19,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-2,4,-2,-2,0,1,4,-2,1,1,-2,7,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,4 
"lotiO","lycarg",-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"roleO","lysasp",-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"apalO","macalb",-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1 
